customer_id ,customer_name,,sales_region,sign_up_date
CG-12520,Claire Gute,,South,11/12/2013
CG-12520,Claire Gute,,South,11/12/2013
DV-13045,Darrin Van Huff,,West,6/17/2013
SO-20335,Sean O'Donnell,,South,10/18/2012
SO-20335,Sean O'Donnell,,South,10/18/2012
BH-11710,Brosina Hoffman,,West,6/14/2011
BH-11710,Brosina Hoffman,,West,6/14/2011
BH-11710,Brosina Hoffman,,West,6/14/2011
BH-11710,Brosina Hoffman,,West,6/14/2011
BH-11710,Brosina Hoffman,,West,6/14/2011
BH-11710,Brosina Hoffman,,West,6/14/2011
BH-11710,Brosina Hoffman,,West,6/14/2011
AA-10480,Andrew Allen,,South,4/21/2014
IM-15070,Irene Maddox,,West,12/11/2013
HP-14815,Harold Pawlan,,Central,11/26/2012
HP-14815,Harold Pawlan,,Central,11/26/2012
PK-19075,Pete Kriz,,Central,11/18/2011
AG-10270,Alejandro Grove,,West,5/15/2011
ZD-21925,Zuschuss Donatelli,,West,9/1/2011
ZD-21925,Zuschuss Donatelli,,West,9/1/2011
ZD-21925,Zuschuss Donatelli,,West,9/1/2011
KB-16585,Ken Black,,Central,12/14/2013
KB-16585,Ken Black,,Central,12/14/2013
SF-20065,Sandra Flanagan,,East,7/19/2014
EB-13870,Emily Burns,,West,9/30/2012
EH-13945,Eric Hoffmann,,West,1/20/2013
EH-13945,Eric Hoffmann,,West,1/20/2013
TB-21520,Tracy Blumstein,,East,9/21/2012
TB-21520,Tracy Blumstein,,East,9/21/2012
TB-21520,Tracy Blumstein,,East,9/21/2012
TB-21520,Tracy Blumstein,,East,9/21/2012
TB-21520,Tracy Blumstein,,East,9/21/2012
TB-21520,Tracy Blumstein,,East,9/21/2012
TB-21520,Tracy Blumstein,,East,9/21/2012
MA-17560,Matt Abelman,,Central,10/24/2014
GH-14485,Gene Hale,,Central,12/11/2013
GH-14485,Gene Hale,,Central,12/11/2013
SN-20710,Steve Nguyen,,Central,12/31/2012
SN-20710,Steve Nguyen,,Central,12/31/2012
SN-20710,Steve Nguyen,,Central,12/31/2012
SN-20710,Steve Nguyen,,Central,12/31/2012
LC-16930,Linda Cazamias,,Central,9/16/2014
RA-19885,Ruben Ausman,,West,7/23/2013
ES-14080,Erin Smith,,South,9/24/2014
ON-18715,Odella Nelson,,Central,3/14/2013
ON-18715,Odella Nelson,,Central,3/14/2013
PO-18865,Patrick O'Donnell,,Central,10/25/2011
LH-16900,Lena Hernandez,,East,6/26/2013
LH-16900,Lena Hernandez,,East,6/26/2013
DP-13000,Darren Powers,,Central,4/22/2012
DP-13000,Darren Powers,,Central,4/22/2012
DP-13000,Darren Powers,,Central,4/22/2012
DP-13000,Darren Powers,,Central,4/22/2012
JM-15265,Janet Molinari,,East,12/18/2013
JM-15265,Janet Molinari,,East,12/18/2013
TB-21055,Ted Butterfield,,East,6/19/2013
TB-21055,Ted Butterfield,,East,6/19/2013
TB-21055,Ted Butterfield,,East,6/19/2013
TB-21055,Ted Butterfield,,East,6/19/2013
TB-21055,Ted Butterfield,,East,6/19/2013
TB-21055,Ted Butterfield,,East,6/19/2013
TB-21055,Ted Butterfield,,East,6/19/2013
KM-16720,Kunst Miller,,West,11/30/2012
KM-16720,Kunst Miller,,West,11/30/2012
KM-16720,Kunst Miller,,West,11/30/2012
KM-16720,Kunst Miller,,West,11/30/2012
PS-18970,Paul Stevenson,,Central,5/5/2012
BS-11590,Brendan Sweed,,West,12/10/2011
BS-11590,Brendan Sweed,,West,12/10/2011
KD-16270,Karen Daniels,,South,6/7/2013
HM-14980,Henry MacAllister,,East,9/24/2013
TB-21520,Tracy Blumstein,,Central,9/18/2014
JE-15745,Joel Eaton,,South,5/2/2012
JE-15745,Joel Eaton,,South,5/2/2012
JE-15745,Joel Eaton,,South,5/2/2012
KB-16600,Ken Brennan,,Central,12/12/2014
KB-16600,Ken Brennan,,Central,12/12/2014
KB-16600,Ken Brennan,,Central,12/12/2014
JE-15745,Joel Eaton,,Central,12/1/2011
SC-20770,Stewart Carmichael,,South,6/16/2013
SC-20770,Stewart Carmichael,,South,6/16/2013
DN-13690,Duane Noonan,,West,10/16/2011
DN-13690,Duane Noonan,,West,10/16/2011
JC-16105,Julie Creighton,,South,9/8/2012
CS-12400,Christopher Schild,,Central,11/17/2014
PO-18865,Patrick O'Donnell,,South,5/31/2014
PG-18895,Paul Gonzalez,,Central,11/3/2014
PG-18895,Paul Gonzalez,,Central,11/3/2014
GM-14455,Gary Mitchum,,Central,4/11/2013
JS-15685,Jim Sink,,West,9/23/2013
JS-15685,Jim Sink,,West,9/23/2013
JS-15685,Jim Sink,,West,9/23/2013
KB-16315,Karl Braun,,Central,2/5/2012
KB-16315,Karl Braun,,Central,2/5/2012
KB-16315,Karl Braun,,Central,2/5/2012
RB-19705,Roger Barcio,,West,11/13/2014
PN-18775,Parhena Norris,,East,11/12/2014
KD-16345,Katherine Ducich,,West,6/21/2014
ER-13855,Elpida Rittenbach,,Central,9/12/2013
RB-19465,Rick Bensley,,Central,9/3/2013
RB-19465,Rick Bensley,,Central,9/3/2013
RB-19465,Rick Bensley,,Central,9/3/2013
GZ-14470,Gary Zandusky,,Central,12/5/2013
LC-16870,Lena Cacioppo,,West,11/17/2012
LC-16870,Lena Cacioppo,,West,11/17/2012
LC-16870,Lena Cacioppo,,West,11/17/2012
JM-15250,Janet Martin,,South,11/29/2014
JM-15250,Janet Martin,,South,11/29/2014
JM-15250,Janet Martin,,South,11/29/2014
PA-19060,Pete Armstrong,,Central,10/20/2012
CV-12805,Cynthia Voltz,,East,12/31/2014
CL-12565,Clay Ludtke,,Central,11/11/2013
CL-12565,Clay Ludtke,,Central,11/11/2013
RC-19960,Ryan Crowe,,East,8/27/2011
RC-19960,Ryan Crowe,,East,8/27/2011
RC-19960,Ryan Crowe,,East,8/27/2011
RC-19960,Ryan Crowe,,East,8/27/2011
DK-13090,Dave Kipp,,West,3/6/2012
GG-14650,Greg Guthrie,,South,4/10/2012
SC-20725,Steven Cartwright,,East,6/16/2013
SC-20725,Steven Cartwright,,East,6/16/2013
SC-20725,Steven Cartwright,,East,6/16/2013
SC-20725,Steven Cartwright,,East,6/16/2013
SC-20725,Steven Cartwright,,East,6/16/2013
AD-10180,Alan Dominguez,,Central,12/28/2011
PF-19165,Philip Fox,,Central,9/25/2011
TS-21610,Troy Staebel,,West,11/13/2014
TS-21610,Troy Staebel,,West,11/13/2014
LS-16975,Lindsay Shagiari,,West,11/11/2013
LS-16975,Lindsay Shagiari,,West,11/11/2013
DW-13585,Dorothy Wardle,,East,2/6/2014
DW-13585,Dorothy Wardle,,East,2/6/2014
DW-13585,Dorothy Wardle,,East,2/6/2014
LC-16885,Lena Creighton,,West,10/20/2013
LC-16885,Lena Creighton,,West,10/20/2013
LC-16885,Lena Creighton,,West,10/20/2013
LC-16885,Lena Creighton,,West,10/20/2013
LC-16885,Lena Creighton,,West,10/20/2013
LC-16885,Lena Creighton,,West,10/20/2013
LC-16885,Lena Creighton,,West,10/20/2013
JD-15895,Jonathan Doherty,,East,9/8/2013
SH-19975,Sally Hughsby,,West,9/24/2014
SH-19975,Sally Hughsby,,West,9/24/2014
SH-19975,Sally Hughsby,,West,9/24/2014
SG-20080,Sandra Glassco,,Central,12/28/2014
HA-14920,Helen Andreada,,West,9/12/2012
MG-17680,Maureen Gastineau,,East,10/28/2011
JE-16165,Justin Ellison,,Central,12/10/2013
JE-16165,Justin Ellison,,Central,12/10/2013
JE-16165,Justin Ellison,,Central,12/10/2013
JE-16165,Justin Ellison,,Central,12/10/2013
TW-21025,Tamara Willingham,,West,3/17/2013
TW-21025,Tamara Willingham,,West,3/17/2013
SP-20650,Stephanie Phelps,,West,6/2/2012
SP-20650,Stephanie Phelps,,West,6/2/2012
SP-20650,Stephanie Phelps,,West,6/2/2012
NK-18490,Neil Knudson,,West,6/3/2012
DB-13060,Dave Brooks,,West,3/6/2011
NP-18670,Nora Paige,,Central,11/25/2013
NP-18670,Nora Paige,,Central,11/25/2013
TT-21070,Ted Trevino,,West,5/13/2013
EM-13960,Eric Murdock,,East,12/31/2012
RD-19900,Ruben Dartt,,West,11/21/2013
MJ-17740,Max Jones,,West,11/12/2013
BM-11140,Becky Martin,,Central,9/12/2011
BM-11140,Becky Martin,,Central,9/12/2011
BM-11140,Becky Martin,,Central,9/12/2011
BM-11140,Becky Martin,,Central,9/12/2011
BM-11140,Becky Martin,,Central,9/12/2011
BM-11140,Becky Martin,,Central,9/12/2011
BM-11140,Becky Martin,,Central,9/12/2011
CS-12130,Chad Sievert,,West,8/9/2011
CS-12130,Chad Sievert,,West,8/9/2011
CS-12130,Chad Sievert,,West,8/9/2011
JB-15400,Jennifer Braxton,,Central,9/19/2011
JB-15400,Jennifer Braxton,,Central,9/19/2011
SJ-20500,Shirley Jackson,,Central,4/26/2014
JE-15745,Joel Eaton,,East,11/23/2012
JE-15745,Joel Eaton,,East,11/23/2012
JK-15640,Jim Kriz,,East,12/19/2012
DK-13150,David Kendrick,,Central,12/9/2011
DK-13150,David Kendrick,,Central,12/9/2011
RM-19675,Robert Marley,,South,11/24/2011
RM-19675,Robert Marley,,South,11/24/2011
RM-19675,Robert Marley,,South,11/24/2011
SK-19990,Sally Knutson,,East,12/3/2013
FM-14290,Frank Merwin,,West,8/30/2011
AM-10360,Alice McCarthy,,Central,7/23/2013
AM-10360,Alice McCarthy,,Central,7/23/2013
MP-17470,Mark Packer,,East,10/14/2012
MP-17470,Mark Packer,,East,10/14/2012
MP-17470,Mark Packer,,East,10/14/2012
MP-17470,Mark Packer,,East,10/14/2012
MP-17470,Mark Packer,,East,10/14/2012
MZ-17515,Mary Zewe,,West,11/6/2012
CB-12025,Cassandra Brandow,,East,3/25/2011
CB-12025,Cassandra Brandow,,East,3/25/2011
VM-21685,Valerie Mitchum,,East,11/14/2014
FH-14365,Fred Hopkins,,East,7/14/2014
FH-14365,Fred Hopkins,,East,7/14/2014
MB-17305,Maria Bertelson,,East,6/30/2014
BS-11755,Bruce Stewart,,West,8/5/2011
BS-11755,Bruce Stewart,,West,8/5/2011
